questionUid,qKey,standardUnitKey,subUnitKey,problemImageStatus,problemVisualType,problemVisualStatus,solutionImageStatus,graphGapDisposition,graphCandidateScore,graphCandidateReasons,graphRequirement,qualityDisposition,placeholderFound,contentPreview
h1:original/high/h1/2final/22_매산고_2학기_기말_고1_기출.js_7,original/high/h1/2final/22_매산고_2학기_기말_고1_기출.js_7,H15-SB-05,H15-SB-05-IRRATIONAL_INVERSE,ABSENT,,ABSENT,PRESENT,SOLUTION_VISUAL_PRESENT,0,solutionImage-present,UNADJUDICATED,PENDING_INDEPENDENT_TRIAGE,NO,함수 $y=3-\sqrt{4-x}$의 그래프와 직선 $y=-2x+k$가 제1사분면에서 만나도록 하는 $k$의 값이 될 수 없는 것은? [4.2점]
h1:original/high/h1/2final/22_매산고_2학기_기말_고1_기출.js_8,original/high/h1/2final/22_매산고_2학기_기말_고1_기출.js_8,H15-SB-04,H15-SB-04-RATIONAL_BASIC,ABSENT,,ABSENT,PRESENT,SOLUTION_VISUAL_PRESENT,0,solutionImage-present,UNADJUDICATED,PENDING_INDEPENDENT_TRIAGE,NO,"함수 $y=\dfrac2x$의 그래프의 제1사분면 위의 점 $A$에서 $x$축, $y$축에 평행한 직선을 그어 $y=\dfrac{k}{x}$ $(k\gt2)$의 그래프와 만나는 점을 각각 $B,C$라 하자. 삼각형 $ABC$의 넓이가 4일 때, 상수 $k$의 값은? [4.4점]"
h1:original/high/h1/2final/22_복성고_2학기_기말_고1_기출.js_12,original/high/h1/2final/22_복성고_2학기_기말_고1_기출.js_12,H15-SB-04,H15-SB-04-RATIONAL_BASIC,ABSENT,,ABSENT,PRESENT,SOLUTION_VISUAL_PRESENT,0,solutionImage-present,UNADJUDICATED,PENDING_INDEPENDENT_TRIAGE,NO,"함수 $f(x)=\dfrac{2x+k}{x+3}$의 그래프를 $x$축의 방향으로 1만큼, $y$축의 방향으로 $-1$만큼 평행이동한 곡선을 $y=g(x)$라 하자. 곡선 $y=g(x)$의 두 점근선의 교점이 곡선 $y=f(x)$ 위의 점일 때, 상수 $k$의 값은? [4.3점]"
h1:original/high/h1/2final/22_복성고_2학기_기말_고1_기출.js_13,original/high/h1/2final/22_복성고_2학기_기말_고1_기출.js_13,H15-SB-05,H15-SB-05-IRRATIONAL_BASIC,PRESENT,,PRESENT,ABSENT,PRIORITY_1_GRAPH_GAP_CANDIDATE,10,explicit-graph|problem-image,UNADJUDICATED,PENDING_INDEPENDENT_TRIAGE,NO,"함수 $y=a\sqrt{bx+2}+c$의 그래프가 오른쪽 그림과 같다. $-1\le x\le1$에서 함수 $y=\dfrac{ax+1}{bx+c}$의 최댓값을 $M$, 최솟값을 $m$이라 할 때, $M+m$의 값은? [4.4점]"
h1:original/high/h1/2final/22_복성고_2학기_기말_고1_기출.js_14,original/high/h1/2final/22_복성고_2학기_기말_고1_기출.js_14,H15-SB-03,H15-SB-03-FUNCTION_RELATION,PRESENT,,PRESENT,ABSENT,PRIORITY_1_GRAPH_GAP_CANDIDATE,10,explicit-graph|problem-image,UNADJUDICATED,PENDING_INDEPENDENT_TRIAGE,NO,"수직선 위의 두 점 $A(2)$, $B(-3)$을 잇는 선분 $AB$를 $1:t$ $(t\gt0)$로 내분하는 점 $P$의 좌표를 $f(t)$라 할 때, 함수 $y=f(t)$의 그래프의 개형으로 옳은 것은? (단, 점선은 그래프의 점근선이다.) [4.4점]"
h1:original/high/h1/2final/22_복성고_2학기_기말_고1_기출.js_15,original/high/h1/2final/22_복성고_2학기_기말_고1_기출.js_15,H15-SB-04,H15-SB-04-RATIONAL_BASIC,ABSENT,,ABSENT,PRESENT,SOLUTION_VISUAL_PRESENT,0,solutionImage-present,UNADJUDICATED,PENDING_INDEPENDENT_TRIAGE,NO,함수 $y=\dfrac{2x+k-3}{x-2}$의 그래프가 모든 사분면을 지나도록 하는 실수 $k$의 값의 범위는? [4.4점]
h1:original/high/h1/2final/22_복성고_2학기_기말_고1_기출.js_18,original/high/h1/2final/22_복성고_2학기_기말_고1_기출.js_18,H15-SB-03,H15-SB-03-FUNCTION_RELATION,ABSENT,,ABSENT,ABSENT,TRIAGE_NO_GRAPH_SIGNAL,0,,UNADJUDICATED,PENDING_INDEPENDENT_TRIAGE,NO,"두 집합 $X=\{1,2,3,4,5\}$, $Y=\{a,b,c\}$에 대하여 치역과 공역이 일치하는 $X$에서 $Y$로의 함수의 개수는? [4.6점]"
h1:original/high/h1/2final/22_복성고_2학기_기말_고1_기출.js_19,original/high/h1/2final/22_복성고_2학기_기말_고1_기출.js_19,H15-SB-03,H15-SB-03-FUNCTION_RELATION,PRESENT,,PRESENT,ABSENT,PRIORITY_1_GRAPH_GAP_CANDIDATE,10,explicit-graph|problem-image,UNADJUDICATED,PENDING_INDEPENDENT_TRIAGE,NO,"아래 그림과 같이 $\overline{AB}=4$, $\overline{AC}=3$인 직각삼각형 내부에 한 변이 선분 $BC$위에 있고 두 꼭짓점이 각각 선분 $AB$, $AC$위에 있는 직사각형의 넓이의 최댓값은? [4.6점]"
h1:original/high/h1/2final/22_복성고_2학기_기말_고1_기출.js_20,original/high/h1/2final/22_복성고_2학기_기말_고1_기출.js_20,H15-SB-05,H15-SB-05-IRRATIONAL_BASIC,ABSENT,,ABSENT,ABSENT,PRIORITY_1_EXPLICIT_GRAPH_CANDIDATE,8,explicit-graph,UNADJUDICATED,PENDING_INDEPENDENT_TRIAGE,NO,"[서술형 1] 두 집합 $A=\{(x,y)\mid y=\sqrt{-2x+4}\}$, $B=\{(x,y)\mid y=-x+k\}$에 대하여 다음을 만족하는 실수 $k$의 값 또는 범위를 구하는 과정을 서술하시오. [5점]<br>(1) $n(A\cap B)=2$<br>(2) $n(A\cap B)=1$<br>(3) $n(A\cap B)=0$"
h1:original/high/h1/2final/22_복성고_2학기_기말_고1_기출.js_21,original/high/h1/2final/22_복성고_2학기_기말_고1_기출.js_21,H15-SB-04,H15-SB-04-RATIONAL_BASIC,ABSENT,,ABSENT,PRESENT,SOLUTION_VISUAL_PRESENT,0,solutionImage-present,UNADJUDICATED,PENDING_INDEPENDENT_TRIAGE,NO,"[서술형 2] 좌표평면 위에 함수 $f(x)=\begin{cases}\dfrac8x&(x\gt0)\\\dfrac2x&(x\lt0)\end{cases}$의 그래프와 직선 $y=-x$가 있다. 함수 $y=f(x)$의 그래프 위의 점 $P$를 지나고 $x$축에 수직인 직선이 직선 $y=-x$와 만나는 점을 $Q$, 점 $Q$를 지나고 $y$축에 수직인 직선이 $y=f(x)$와 만나는 점을 $R$이라 할 때, $\triangle PQ"
h1:original/high/h1/2final/22_복성고_2학기_기말_고1_기출.js_22,original/high/h1/2final/22_복성고_2학기_기말_고1_기출.js_22,H15-SB-03,H15-SB-03-FUNCTION_RELATION,PRESENT,,PRESENT,ABSENT,PRIORITY_1_GRAPH_GAP_CANDIDATE,10,explicit-graph|problem-image,UNADJUDICATED,PENDING_INDEPENDENT_TRIAGE,NO,"[서술형 3] 아래 그림과 같이 길이가 2인 선분 $AB$를 지름으로 하는 반원 위를 움직이는 점 $P$에 대하여 선분 $PA$와 선분 $PB$의 중점을 각각 $M,N$이라 할 때, $\overline{AN}\times\overline{BM}$의 최댓값을 구하고 그 과정을 서술하시오. [8점]"
h1:original/high/h1/2final/22_복성고_2학기_기말_고1_기출.js_3,original/high/h1/2final/22_복성고_2학기_기말_고1_기출.js_3,H15-SB-05,H15-SB-05-IRRATIONAL_BASIC,ABSENT,,ABSENT,ABSENT,TRIAGE_NO_GRAPH_SIGNAL,0,,UNADJUDICATED,PENDING_INDEPENDENT_TRIAGE,NO,다음 무리식을 간단히 한 것은? [3.9점]<br>$\dfrac1{\sqrt{x+1}-\sqrt{x-1}}-\dfrac1{\sqrt{x+1}+\sqrt{x-1}}$
h1:original/high/h1/2final/22_복성고_2학기_기말_고1_기출.js_5,original/high/h1/2final/22_복성고_2학기_기말_고1_기출.js_5,H15-SB-05,H15-SB-05-IRRATIONAL_BASIC,ABSENT,,ABSENT,ABSENT,TRIAGE_NO_GRAPH_SIGNAL,0,,UNADJUDICATED,PENDING_INDEPENDENT_TRIAGE,NO,"함수 $f(x)=\sqrt{x+2}+1$의 역함수가 $f^{-1}(x)=x^2+ax+b$ $(x\ge c)$일 때, 상수 $a,b,c$에 대하여 $a+b+c$의 값은? [4.0점]"
h1:original/high/h1/2final/22_복성고_2학기_기말_고1_기출.js_7,original/high/h1/2final/22_복성고_2학기_기말_고1_기출.js_7,H15-SB-05,H15-SB-05-IRRATIONAL_BASIC,ABSENT,,ABSENT,PRESENT,SOLUTION_VISUAL_PRESENT,0,solutionImage-present,UNADJUDICATED,PENDING_INDEPENDENT_TRIAGE,NO,함수 $y=-\sqrt{2x+3}+2$에 대한 설명으로 옳은 것은? [4.1점]
h1:original/high/h1/2final/22_순천여고_2학기_기말_고1_기출.js_10,original/high/h1/2final/22_순천여고_2학기_기말_고1_기출.js_10,H15-SB-05,H15-SB-05-IRRATIONAL_BASIC,ABSENT,,ABSENT,ABSENT,TRIAGE_NO_GRAPH_SIGNAL,0,,UNADJUDICATED,PENDING_INDEPENDENT_TRIAGE,NO,"스키드 마크란 자동차의 브레이크가 작동하여 바퀴가 구르지 않고 미끄러질 때 도로 면에 나타나는 타이어 자국을 말한다. 어느 도로에서 스키드 마크의 길이를 $S$ m, 마찰계수를 $F$, 제동 직전의 자동차의 속력을 $V$ km/h라고 하면 다음과 같은 관계식이 성립한다고 한다.<br>$V=\sqrt{254\times S\times F}$<br>두 자동차 $A,B$에 대하여 자동차 $A$의 마찰계수는 자동차 $B$의 마찰계수의 "
h1:original/high/h1/2final/22_순천여고_2학기_기말_고1_기출.js_11,original/high/h1/2final/22_순천여고_2학기_기말_고1_기출.js_11,H15-SB-04,H15-SB-04-RATIONAL_BASIC,ABSENT,,ABSENT,ABSENT,TRIAGE_NO_GRAPH_SIGNAL,0,,UNADJUDICATED,PENDING_INDEPENDENT_TRIAGE,NO,"유리함수 $f(x)=\dfrac{-1}{x+1}$에 대하여 $f^{53}(x)=\dfrac{ax+b}{cx+d}$일 때, 상수 $a,b,c,d$에 대하여 $a+b+c+d$의 값은? (단, $f^1=f$, $f^{n+1}=f\circ f^n$, $n$은 자연수이고 $c=1$이다.) [4점]"
h1:original/high/h1/2final/22_순천여고_2학기_기말_고1_기출.js_12,original/high/h1/2final/22_순천여고_2학기_기말_고1_기출.js_12,H15-SB-05,H15-SB-05-IRRATIONAL_BASIC,PRESENT,,PRESENT,ABSENT,PRIORITY_1_GRAPH_GAP_CANDIDATE,10,explicit-graph|problem-image,UNADJUDICATED,PENDING_INDEPENDENT_TRIAGE,NO,"다음 함수 $f(x)$의 그래프가 그림과 같을 때, $(g\circ f)(x)=x$를 만족시키는 함수 $g(x)=a\sqrt{bx+1}+c$ $(x\le d)$일 때, $abcd$의 값은? (단, $a,b,c,d$는 상수) [4점]"
h1:original/high/h1/2final/22_순천여고_2학기_기말_고1_기출.js_13,original/high/h1/2final/22_순천여고_2학기_기말_고1_기출.js_13,H15-SB-03,H15-SB-03-FUNCTION_RELATION,ABSENT,,ABSENT,ABSENT,TRIAGE_NO_GRAPH_SIGNAL,0,,UNADJUDICATED,PENDING_INDEPENDENT_TRIAGE,NO,"두 함수 $f(x)=x$, $g(x)=|x-2|-4$에 대하여 $-2\le x\le5$에서 함수 $f(x)\times(f\circ g)(x)$의 최댓값과 최솟값의 합은? [4.1점]"
h1:original/high/h1/2final/22_순천여고_2학기_기말_고1_기출.js_14,original/high/h1/2final/22_순천여고_2학기_기말_고1_기출.js_14,H15-SB-05,H15-SB-05-IRRATIONAL_BASIC,ABSENT,,ABSENT,PRESENT,SOLUTION_VISUAL_PRESENT,0,solutionImage-present,UNADJUDICATED,PENDING_INDEPENDENT_TRIAGE,NO,"두 함수 $y=\sqrt{ax}-3$, $y=\sqrt{-ax+9}$ $(a\gt0)$의 그래프와 $y$축으로 둘러싸인 도형의 넓이가 $\dfrac92$일 때, 상수 $a$의 값은? [4.1점]"
h1:original/high/h1/2final/22_순천여고_2학기_기말_고1_기출.js_16,original/high/h1/2final/22_순천여고_2학기_기말_고1_기출.js_16,H15-SB-05,H15-SB-05-IRRATIONAL_BASIC,ABSENT,,ABSENT,ABSENT,TRIAGE_NO_GRAPH_SIGNAL,0,,UNADJUDICATED,PENDING_INDEPENDENT_TRIAGE,NO,"두 집합 $A=\{(x,y)\mid y=-\sqrt{x-2}+4\}$, $B=\{(x,y)\mid kx+y+k-1=0\}$에 대하여 $A\cap B\ne\varnothing$일 때, 실수 $k$의 값의 최솟값은? [4.2점]"
h1:original/high/h1/2final/22_순천여고_2학기_기말_고1_기출.js_17,original/high/h1/2final/22_순천여고_2학기_기말_고1_기출.js_17,H15-SB-05,H15-SB-05-IRRATIONAL_BASIC,PRESENT,,PRESENT,PRESENT,SOLUTION_VISUAL_PRESENT,0,solutionImage-present,UNADJUDICATED,PENDING_INDEPENDENT_TRIAGE,NO,"아래 그림과 같이 선분 $AB$를 지름으로 하고 중심이 $O$, $\overline{AB}=4$인 반원이 있다. 호 $AC$ 위를 움직이는 점을 $P$, 점 $P$에서 선분 $AB$와 수직으로 만나는 점을 $D$라 하자. 점 $O$와 점 $D$ 사이의 거리를 $x$ $(0\le x\le2)$, 점 $A$와 점 $P$ 사이의 거리를 $f(x)$라 할 때, 함수 $y=f(x)$의 그래프의 모양으로 알맞은 것은? [4.3점]"
h1:original/high/h1/2final/22_순천여고_2학기_기말_고1_기출.js_18,original/high/h1/2final/22_순천여고_2학기_기말_고1_기출.js_18,H15-SB-03,H15-SB-03-FUNCTION_RELATION,ABSENT,,ABSENT,ABSENT,TRIAGE_NO_GRAPH_SIGNAL,0,,UNADJUDICATED,PENDING_INDEPENDENT_TRIAGE,NO,"집합 $X=\{2,4,6,8,10\}$에 대하여 $X$에서 $X$로의 함수 중 $(f\circ f)(x)=x$를 만족시키는 함수 $f$의 개수는? [4.3점]"
h1:original/high/h1/2final/22_순천여고_2학기_기말_고1_기출.js_19,original/high/h1/2final/22_순천여고_2학기_기말_고1_기출.js_19,H15-SB-03,H15-SB-03-COMPOSITE_FUNCTION,ABSENT,,ABSENT,ABSENT,PRIORITY_2_GRAPH_SUBUNIT_CANDIDATE,5,graph-subunit,UNADJUDICATED,PENDING_INDEPENDENT_TRIAGE,NO,"두 함수 $f(x)=\dfrac3{x-2}-1$, $g(x)=-\sqrt{-x+a}+2$에 대하여 $-4\le x\le1$일 때 $(f\circ g)(x)$의 최댓값이 $-2$, 최솟값 $b$이다. $ab$의 값은? (단, $a\ge1$) [4.4점]"
h1:original/high/h1/2final/22_순천여고_2학기_기말_고1_기출.js_2,original/high/h1/2final/22_순천여고_2학기_기말_고1_기출.js_2,H15-SB-04,H15-SB-04-RATIONAL_BASIC,ABSENT,,ABSENT,ABSENT,TRIAGE_NO_GRAPH_SIGNAL,0,,UNADJUDICATED,PENDING_INDEPENDENT_TRIAGE,NO,"분모를 0으로 하지 않는 모든 실수 $x$에 대하여 등식 $\dfrac{a}{x-1}-\dfrac{b}{x+2}=\dfrac{-x+4}{x^2+x-2}$이 성립할 때, 상수 $a,b$에 대하여 $a+b$의 값은? [3.6점]"
h1:original/high/h1/2final/22_순천여고_2학기_기말_고1_기출.js_20,original/high/h1/2final/22_순천여고_2학기_기말_고1_기출.js_20,H15-SB-04,H15-SB-04-RATIONAL_BASIC,ABSENT,,ABSENT,PRESENT,SOLUTION_VISUAL_PRESENT,0,solutionImage-present,UNADJUDICATED,PENDING_INDEPENDENT_TRIAGE,NO,"1보다 큰 실수 $a$에 대하여 직선 $x=a$가 두 함수 $y=\dfrac1{x-1}$, $y=-x$의 그래프와 만나는 점을 각각 $P,Q$, 점 $P$에서 $x$축에 평행한 직선이 $y=-x$와 만나는 점을 $R$이라고 하자. 삼각형 $PQR$의 넓이의 최솟값은? [4.5점]"
h1:original/high/h1/2final/22_순천여고_2학기_기말_고1_기출.js_21,original/high/h1/2final/22_순천여고_2학기_기말_고1_기출.js_21,H15-SB-05,H15-SB-05-IRRATIONAL_BASIC,ABSENT,,ABSENT,PRESENT,SOLUTION_VISUAL_PRESENT,0,solutionImage-present,UNADJUDICATED,PENDING_INDEPENDENT_TRIAGE,NO,"서술형1<br>함수 $y=\sqrt{ax+b}+c$의 그래프를 $x$축의 방향으로 2만큼, $y$축 방향으로 $-1$만큼 평행이동 한 후, $x$축에 대하여 대칭이동 하였더니 함수 $y=-\sqrt{2x-5}+3$의 그래프와 일치하였다. 이때, 상수 $a,b,c$의 값을 각각 구하시오. [6점]"
h1:original/high/h1/2final/22_순천여고_2학기_기말_고1_기출.js_22,original/high/h1/2final/22_순천여고_2학기_기말_고1_기출.js_22,H15-SB-04,H15-SB-04-RATIONAL_BASIC,ABSENT,,ABSENT,ABSENT,TRIAGE_NO_GRAPH_SIGNAL,0,,UNADJUDICATED,PENDING_INDEPENDENT_TRIAGE,NO,"서술형2<br>좌표평면에서 점 $A(1,-2)$와 제2사분면 위를 움직이는 점 $P$가 있다. $P$에서 $x$축, $y$축에 내린 수선의 발을 각각 $Q,R$이라 하면 $\overline{PA}=\overline{PQ}+\overline{PR}$이다. 점 $P$가 그리는 도형이 직선 $y=ax+b$에 대칭일 때, 점 $P$가 그리는 도형의 방정식과 직선 $y=ax+b$를 구하시오. (단, $a,b$는 상수) [7점]"
h1:original/high/h1/2final/22_순천여고_2학기_기말_고1_기출.js_23,original/high/h1/2final/22_순천여고_2학기_기말_고1_기출.js_23,H15-SB-03,H15-SB-03-INVERSE_FUNCTION,ABSENT,,ABSENT,ABSENT,TRIAGE_NO_GRAPH_SIGNAL,0,,UNADJUDICATED,PENDING_INDEPENDENT_TRIAGE,NO,"서술형3<br>집합 $X=\{x\mid x\ge2$인 실수$\}$에서 $X$로 정의된 함수 $f(x)=\begin{cases}\dfrac{4x-2}{x-3}&(x\gt3)\\\sqrt{ax+b}&(2\le x\le3)\end{cases}$가 있다. $f(x)$의 역함수가 존재하도록 하는 실수 $a,b$의 값을 모두 구하시오. [7점]"
h1:original/high/h1/2final/22_순천여고_2학기_기말_고1_기출.js_4,original/high/h1/2final/22_순천여고_2학기_기말_고1_기출.js_4,H15-SB-05,H15-SB-05-IRRATIONAL_BASIC,ABSENT,,ABSENT,ABSENT,TRIAGE_NO_GRAPH_SIGNAL,0,,UNADJUDICATED,PENDING_INDEPENDENT_TRIAGE,NO,"정의역이 $\{x\mid0\le x\le a\}$인 무리함수 $y=\sqrt{x+1}+b$의 최솟값이 3, 최댓값이 5일 때, $a+b$의 값은? (단, $a,b$는 상수) [3.7점]"
h1:original/high/h1/2final/22_순천여고_2학기_기말_고1_기출.js_5,original/high/h1/2final/22_순천여고_2학기_기말_고1_기출.js_5,H15-SB-04,H15-SB-04-RATIONAL_GRAPH,PRESENT,,PRESENT,ABSENT,PRIORITY_1_GRAPH_GAP_CANDIDATE,10,explicit-graph|problem-image,UNADJUDICATED,PENDING_INDEPENDENT_TRIAGE,NO,"유리함수 $y=\dfrac{k}{2x+a}+b$의 그래프가 오른쪽 그림과 같을 때, 상수 $a,b,k$에 대하여 $a+b+k$의 값은? [3.8점]"
h1:original/high/h1/2final/22_순천여고_2학기_기말_고1_기출.js_7,original/high/h1/2final/22_순천여고_2학기_기말_고1_기출.js_7,H15-SB-04,H15-SB-04-RATIONAL_BASIC,ABSENT,,ABSENT,PRESENT,SOLUTION_VISUAL_PRESENT,0,solutionImage-present,UNADJUDICATED,PENDING_INDEPENDENT_TRIAGE,NO,함수 $y=\dfrac{-2x+k-2}{x+1}$의 그래프가 좌표평면 위의 모든 사분면을 지나도록 하는 자연수 $k$의 최솟값은? [3.9점]
h1:original/high/h1/2final/22_순천여고_2학기_기말_고1_기출.js_8,original/high/h1/2final/22_순천여고_2학기_기말_고1_기출.js_8,H15-SB-04,H15-SB-04-RATIONAL_BASIC,ABSENT,,ABSENT,PRESENT,SOLUTION_VISUAL_PRESENT,0,solutionImage-present,UNADJUDICATED,PENDING_INDEPENDENT_TRIAGE,NO,함수 $y=\dfrac{x}{x-2}$의 그래프가 직선 $y=-2x+k$와 만나지 않도록 하는 정수 $k$의 최댓값은? [3.9점]
h1:original/high/h1/2final/22_제일고_2학기_기말_고1_기출.js_1,original/high/h1/2final/22_제일고_2학기_기말_고1_기출.js_1,H15-SB-03,H15-SB-03-COMPOSITE_FUNCTION,PRESENT,,PRESENT,ABSENT,PRIORITY_1_GRAPH_GAP_CANDIDATE,10,explicit-graph|problem-image,UNADJUDICATED,PENDING_INDEPENDENT_TRIAGE,NO,"그림은 두 함수 $f:X\to Y$, $g:Y\to X$를 나타낸 것이다. $(f\circ g)(4)+(f\circ g)^{-1}(7)$의 값은? [3.7점]"
h1:original/high/h1/2final/22_제일고_2학기_기말_고1_기출.js_10,original/high/h1/2final/22_제일고_2학기_기말_고1_기출.js_10,H15-SB-03,H15-SB-03-COMPOSITE_FUNCTION,ABSENT,,ABSENT,ABSENT,PRIORITY_2_GRAPH_RELATION_CANDIDATE,7,graph-subunit|graph-relation,UNADJUDICATED,PENDING_INDEPENDENT_TRIAGE,NO,"함수 $f(x)=-\sqrt{x+1}$와 $g(x)$, $h(x)$에 대하여 다음 중 옳은 것을 모두 고른 것은? [4.6점]<br>ㄱ. $f(x)$와 그 역함수 $f^{-1}(x)$의 교점은 $y=x$ 위에만 존재한다.<br>ㄴ. $f\circ f^{-1}=f^{-1}\circ f$<br>ㄷ. $x\ge-1$에서 $h(x)$의 역함수가 존재할 때, $(h\circ g\circ f)(x)=h(x)$를 만족시키면 $g(-3)=8"
h1:original/high/h1/2final/22_제일고_2학기_기말_고1_기출.js_15,original/high/h1/2final/22_제일고_2학기_기말_고1_기출.js_15,H15-SB-04,H15-SB-04-RATIONAL_BASIC,ABSENT,,ABSENT,ABSENT,TRIAGE_NO_GRAPH_SIGNAL,0,,UNADJUDICATED,PENDING_INDEPENDENT_TRIAGE,NO,"좌표평면에서 곡선 $y=\dfrac{k}{x-2}+1$ $(k\lt0)$이 $x$축, $y$축과 만나는 점을 각각 $A,B$라 하고, 이 곡선의 두 점근선의 교점을 $C$라 하자. 세 점 $A,B,C$가 한 직선 위에 있도록 하는 상수 $k$의 값은? [5.2점]"
h1:original/high/h1/2final/22_제일고_2학기_기말_고1_기출.js_16,original/high/h1/2final/22_제일고_2학기_기말_고1_기출.js_16,H15-SB-03,H15-SB-03-INVERSE_FUNCTION,ABSENT,,ABSENT,ABSENT,TRIAGE_NO_GRAPH_SIGNAL,0,,UNADJUDICATED,PENDING_INDEPENDENT_TRIAGE,NO,"두 실수 $a,b$와 두 함수 $f(x)=-x^2-2x+1$, $g(x)=x^2-2x-1$에 대하여 함수 $h(x)$를 $h(x)=\begin{cases}f(x)&(x\lt a)\\g(x+b)&(x\ge a)\end{cases}$라 하자. 함수 $h(x)$가 역함수가 존재하도록 하는 $a,b$의 모든 순서쌍 $(a,b)$만을 원소로 하는 집합을 $A$라고 할 때, 다음 보기에서 옳은 것만을 있는 대로 고른 것은? [5.2점]<"
h1:original/high/h1/2final/22_제일고_2학기_기말_고1_기출.js_17,original/high/h1/2final/22_제일고_2학기_기말_고1_기출.js_17,H15-SB-03,H15-SB-03-FUNCTION_RELATION,ABSENT,,ABSENT,ABSENT,TRIAGE_NO_GRAPH_SIGNAL,0,,UNADJUDICATED,PENDING_INDEPENDENT_TRIAGE,NO,"함수 $f:X\to Y$에 대하여 $X=\{a,b,c,d,e,f\}$, $Y=\{1,2,3\}$일 때, 공역과 치역이 일치하는 함수의 개수를 구하면? [5.2점]"
h1:original/high/h1/2final/22_제일고_2학기_기말_고1_기출.js_19,original/high/h1/2final/22_제일고_2학기_기말_고1_기출.js_19,H15-SB-03,H15-SB-03-FUNCTION_RELATION,ABSENT,,ABSENT,ABSENT,TRIAGE_NO_GRAPH_SIGNAL,0,,UNADJUDICATED,PENDING_INDEPENDENT_TRIAGE,NO,"서술형 1<br>집합 $X=\{1,2,3,4\}$, $Y=\{1,2,3,4,5,6,7\}$에 대하여 함수 $f:X\to Y$가 다음 조건을 만족할 때 각 물음에 답하여라.<br>(1) 집합 $X$의 임의의 두 원소 $x_1,x_2$에 대하여 $x_1\lt x_2$이면 $f(x_1)\lt f(x_2)$를 만족시키는 함수 $f$의 개수를 구하시오. [2점]<br>(2) 집합 $X$의 임의의 두 원소 $x_1,x_2$에 대하여 $x"
h1:original/high/h1/2final/22_제일고_2학기_기말_고1_기출.js_2,original/high/h1/2final/22_제일고_2학기_기말_고1_기출.js_2,H15-SB-04,H15-SB-04-RATIONAL_BASIC,ABSENT,,ABSENT,PRESENT,SOLUTION_VISUAL_PRESENT,0,solutionImage-present,UNADJUDICATED,PENDING_INDEPENDENT_TRIAGE,NO,함수 $y=\dfrac{3x-1}{x-2}$의 그래프에 대한 다음 설명 중 옳은 것은? [3.7점]
h1:original/high/h1/2final/22_제일고_2학기_기말_고1_기출.js_20,original/high/h1/2final/22_제일고_2학기_기말_고1_기출.js_20,H15-SB-03,H15-SB-03-COMPOSITE_FUNCTION,ABSENT,,ABSENT,ABSENT,PRIORITY_2_GRAPH_RELATION_CANDIDATE,7,graph-subunit|graph-relation,UNADJUDICATED,PENDING_INDEPENDENT_TRIAGE,NO,"서술형 2<br>집합 $X=\{1,2,3,4\}$와 함수 $f:X\to X$에 대하여 함수 $f$의 치역을 $A$, 합성함수 $f\circ f$의 치역을 $B$라고 할 때, 다음 조건을 만족시키는 함수 $f$의 개수를 구하시오. [6점]<br>(가) $n(A)=n(B)$<br>(나) 집합 $X$의 모든 원소 $x$에 대하여 $f(x)\ne x$이다."
h1:original/high/h1/2final/22_제일고_2학기_기말_고1_기출.js_22,original/high/h1/2final/22_제일고_2학기_기말_고1_기출.js_22,H15-SB-05,H15-SB-05-IRRATIONAL_BASIC,ABSENT,,ABSENT,PRESENT,SOLUTION_VISUAL_PRESENT,0,solutionImage-present,UNADJUDICATED,PENDING_INDEPENDENT_TRIAGE,NO,"서술형 4<br>다음 그림과 같이 좌표평면 위의 두 곡선 $y=-\sqrt{x}$과 $y=-\sqrt{x+2}$이 $y$축에 평행한 직선 $x=k$ $(k=1,2,3,4,\cdots)$와 만나는 점을 각각 $P_k,Q_k$라 할 때, $\overline{P_1Q_1}+\overline{P_2Q_2}+\cdots+\overline{P_{47}Q_{47}}=a+b\sqrt2+c\sqrt3$을 만족하는 $a+b+c$의 값을 구하시오"
h1:original/high/h1/2final/22_제일고_2학기_기말_고1_기출.js_3,original/high/h1/2final/22_제일고_2학기_기말_고1_기출.js_3,H15-SB-03,H15-SB-03-INVERSE_FUNCTION,PRESENT,,PRESENT,ABSENT,PRIORITY_1_GRAPH_GAP_CANDIDATE,10,explicit-graph|problem-image,UNADJUDICATED,PENDING_INDEPENDENT_TRIAGE,NO,"다음 그림은 직선 $y=x$와 $x\ge0$에서 정의된 두 함수 $y=f(x)$, $y=g(x)$의 그래프를 나타낸 것이다. 두 함수 $f,g$의 역함수가 존재할 때, $f(g^{-1}(e))$의 값으로 알맞은 것은? (단, 모든 점선은 $x$축 또는 $y$축에 평행하다.) [3.9점]"
